code,city,airport,country,provider,base,lat,lon
KAN,Kano,Mallam Aminu Intl’ Airport,Nigeria,SITA,131.725,12.0333,8.5167
KAW,Kawthaung,Kawthaung Airport,Myanmar,SITA,131.55,10.0500,98.5333
KBP,Kiev,Boryspil Intl’ Airport,Ukraine,SITA,131.725,50.3333,30.8833
KBR,Kota Bharu,Sultan Ismail Petra Airport,Malaysia,SITA,131.55,6.1667,102.2833
KCH,Kuching,Kucing Intl Airport,Malaysia,SITA,131.55,1.4833,110.3333
KCZ,Kochi,Kochi Ryoma Airport,Japan,Avicom,131.45,33.5500,133.6667
KGD,Kaliningrad,Kaliningrad Airport,Russia,SITA,131.725,54.8833,20.5833
KGI,Kalgoorlie,Kalgoorlie Boulder Airport,Australia,SITA,131.55,-30.7833,121.4500
KGL,Kigali,Kigali Intl’ Airport,Rwanda,SITA,131.725,-1.9667,30.1333
KGS,Kos,Kos Island Intl’ Airport,Greece,SITA,131.725,36.7833,27.0833
KHH,Kaoshsiung,Kaoshsiung Intl’ Airport,Taiwan,SITA,131.55,22.5667,120.3333
KHI,Karachi,jinnah Intl’ Airport,Pakistan,SITA,131.725,24.9000,67.1667
KHV,Khabarovsk,Novy Airport,Russia,SITA,131.725,48.5167,135.1667
KIJ,Niigata,Nigata Airport,Japan,Avicom,131.45,37.9500,139.1167
KIM,Kimberley,Kimberley Airport,South Africa,SITA,131.725,-28.7833,24.7667
KIN,Kingston,Norman Manley Intl’ Airport,Jamaica,SITA,131.725,17.9333,-76.7667
KIX,Kansai,Kansai Int’l Airport,Japan,Avicom,131.45,34.4167,135.2333
KJA,Krasnoyarsk,Krasnoyarsk - Yemelyanovo Airport,Russia,SITA,131.725,56.1667,92.4833
KKJ,Kitakyushu,Kitakyushu Airport,Japan,Avicom,131.45,33.8333,131.0333
KLV,Karlovy Vary,Karlovy Vary Airport,Czech Republic,SITA,131.725,50.2000,12.9000
KMI,Miyazaki,Miyazaki Airport,Japan,Avicom,131.45,31.8667,131.4333
KMJ,Kumamoto,Kumamoto Airport,Japan,Avicom,131.45,32.8333,130.8667
KMQ,Komatsu,Komatsu Airport,Japan,Avicom,131.45,36.4000,136.4167
KNO,Medan,"Kuala Namu International Airport, Medan, Sumetera",Indonesia,SITA,131.55,3.6333,98.8667
KNX,Kununurra,Kununurra Airport,Australia,SITA,131.55,-15.7833,128.7000
KOA,Kona/HI,Kona Int’l Airport At Keahole,USA,SITA,136.85,19.7333,-156.0333
KOE,Kupang,El Tari Airport,Indonesia,SITA,131.55,-10.1667,123.6667
